band,STM,value,class,endmember
blue,std,214,1,artificial land
blue,std,247,1,artificial land
blue,std,45,1,artificial land
blue,std,185,1,artificial land
blue,std,101,1,artificial land
blue,std,138,1,artificial land
blue,std,205,1,artificial land
blue,std,108,1,artificial land
blue,std,143,1,artificial land
blue,std,158,1,artificial land
blue,std,72,1,artificial land
blue,std,0,1,artificial land
blue,std,120,1,artificial land
blue,std,46,1,artificial land
blue,std,200,1,artificial land
blue,std,188,1,artificial land
blue,std,28,1,artificial land
blue,std,84,1,artificial land
blue,std,87,1,artificial land
blue,std,256,1,artificial land
blue,std,19,1,artificial land
blue,std,67,1,artificial land
blue,std,142,1,artificial land
blue,std,178,1,artificial land
blue,std,154,1,artificial land
blue,std,132,1,artificial land
blue,std,29,1,artificial land
blue,std,90,1,artificial land
blue,std,144,1,artificial land
blue,std,168,1,artificial land
blue,std,108,1,artificial land
blue,std,77,1,artificial land
blue,std,252,1,artificial land
blue,std,372,1,artificial land
blue,std,129,1,artificial land
blue,std,143,1,artificial land
blue,std,96,1,artificial land
blue,std,138,1,artificial land
blue,std,121,1,artificial land
blue,std,96,1,artificial land
blue,std,153,1,artificial land
blue,std,91,1,artificial land
blue,std,40,1,artificial land
blue,std,350,1,artificial land
blue,std,234,1,artificial land
blue,std,158,1,artificial land
blue,std,13,1,artificial land
blue,std,228,1,artificial land
blue,std,89,1,artificial land
blue,std,175,1,artificial land
blue,q10,699,1,artificial land
blue,q10,1486,1,artificial land
blue,q10,474,1,artificial land
blue,q10,1001,1,artificial land
blue,q10,498,1,artificial land
blue,q10,2349,1,artificial land
blue,q10,971,1,artificial land
blue,q10,2570,1,artificial land
blue,q10,843,1,artificial land
blue,q10,2415,1,artificial land
blue,q10,597,1,artificial land
blue,q10,664,1,artificial land
blue,q10,2220,1,artificial land
blue,q10,1041,1,artificial land
blue,q10,867,1,artificial land
blue,q10,933,1,artificial land
blue,q10,1045,1,artificial land
blue,q10,994,1,artificial land
blue,q10,954,1,artificial land
blue,q10,693,1,artificial land
blue,q10,970,1,artificial land
blue,q10,1038,1,artificial land
blue,q10,344,1,artificial land
blue,q10,993,1,artificial land
blue,q10,642,1,artificial land
blue,q10,617,1,artificial land
blue,q10,762,1,artificial land
blue,q10,836,1,artificial land
blue,q10,1199,1,artificial land
blue,q10,1286,1,artificial land
blue,q10,1496,1,artificial land
blue,q10,536,1,artificial land
blue,q10,1737,1,artificial land
blue,q10,2862,1,artificial land
blue,q10,1101,1,artificial land
blue,q10,710,1,artificial land
blue,q10,370,1,artificial land
blue,q10,453,1,artificial land
blue,q10,1405,1,artificial land
blue,q10,1553,1,artificial land
blue,q10,1222,1,artificial land
blue,q10,746,1,artificial land
blue,q10,2953,1,artificial land
blue,q10,2400,1,artificial land
blue,q10,1839,1,artificial land
blue,q10,1302,1,artificial land
blue,q10,1220,1,artificial land
blue,q10,1765,1,artificial land
blue,q10,849,1,artificial land
blue,q10,564,1,artificial land
blue,q50,873,1,artificial land
blue,q50,1707,1,artificial land
blue,q50,549,1,artificial land
blue,q50,1296,1,artificial land
blue,q50,650,1,artificial land
blue,q50,2349,1,artificial land
blue,q50,1323,1,artificial land
blue,q50,2715,1,artificial land
blue,q50,1072,1,artificial land
blue,q50,2711,1,artificial land
blue,q50,674,1,artificial land
blue,q50,664,1,artificial land
blue,q50,2243,1,artificial land
blue,q50,1120,1,artificial land
blue,q50,1088,1,artificial land
blue,q50,1231,1,artificial land
blue,q50,1105,1,artificial land
blue,q50,1144,1,artificial land
blue,q50,1089,1,artificial land
blue,q50,1261,1,artificial land
blue,q50,1012,1,artificial land
blue,q50,1089,1,artificial land
blue,q50,565,1,artificial land
blue,q50,1267,1,artificial land
blue,q50,911,1,artificial land
blue,q50,759,1,artificial land
blue,q50,806,1,artificial land
blue,q50,1026,1,artificial land
blue,q50,1472,1,artificial land
blue,q50,1286,1,artificial land
blue,q50,1658,1,artificial land
blue,q50,707,1,artificial land
blue,q50,1890,1,artificial land
blue,q50,3372,1,artificial land
blue,q50,1328,1,artificial land
blue,q50,1045,1,artificial land
blue,q50,433,1,artificial land
blue,q50,629,1,artificial land
blue,q50,1665,1,artificial land
blue,q50,1640,1,artificial land
blue,q50,1497,1,artificial land
blue,q50,889,1,artificial land
blue,q50,3006,1,artificial land
blue,q50,2887,1,artificial land
blue,q50,2057,1,artificial land
blue,q50,1632,1,artificial land
blue,q50,1245,1,artificial land
blue,q50,2188,1,artificial land
blue,q50,913,1,artificial land
blue,q50,975,1,artificial land
blue,q90,1268,1,artificial land
blue,q90,2063,1,artificial land
blue,q90,585,1,artificial land
blue,q90,1437,1,artificial land
blue,q90,716,1,artificial land
blue,q90,2472,1,artificial land
blue,q90,1427,1,artificial land
blue,q90,2859,1,artificial land
blue,q90,1224,1,artificial land
blue,q90,2733,1,artificial land
blue,q90,763,1,artificial land
blue,q90,664,1,artificial land
blue,q90,2475,1,artificial land
blue,q90,1141,1,artificial land
blue,q90,1344,1,artificial land
blue,q90,1338,1,artificial land
blue,q90,1105,1,artificial land
blue,q90,1223,1,artificial land
blue,q90,1121,1,artificial land
blue,q90,1383,1,artificial land
blue,q90,1018,1,artificial land
blue,q90,1197,1,artificial land
blue,q90,759,1,artificial land
blue,q90,1394,1,artificial land
blue,q90,974,1,artificial land
blue,q90,897,1,artificial land
blue,q90,827,1,artificial land
blue,q90,1057,1,artificial land
blue,q90,1505,1,artificial land
blue,q90,1636,1,artificial land
blue,q90,1800,1,artificial land
blue,q90,727,1,artificial land
blue,q90,2340,1,artificial land
blue,q90,3654,1,artificial land
blue,q90,1419,1,artificial land
blue,q90,1062,1,artificial land
blue,q90,578,1,artificial land
blue,q90,821,1,artificial land
blue,q90,1728,1,artificial land
blue,q90,1767,1,artificial land
blue,q90,1671,1,artificial land
blue,q90,975,1,artificial land
blue,q90,3047,1,artificial land
blue,q90,3158,1,artificial land
blue,q90,2312,1,artificial land
blue,q90,1705,1,artificial land
blue,q90,1260,1,artificial land
blue,q90,2361,1,artificial land
blue,q90,1045,1,artificial land
blue,q90,1175,1,artificial land
green,std,234,1,artificial land
green,std,225,1,artificial land
green,std,68,1,artificial land
green,std,262,1,artificial land
green,std,107,1,artificial land
green,std,202,1,artificial land
green,std,224,1,artificial land
green,std,111,1,artificial land
green,std,168,1,artificial land
green,std,207,1,artificial land
green,std,100,1,artificial land
green,std,0,1,artificial land
green,std,103,1,artificial land
green,std,54,1,artificial land
green,std,248,1,artificial land
green,std,276,1,artificial land
green,std,18,1,artificial land
green,std,100,1,artificial land
green,std,141,1,artificial land
green,std,334,1,artificial land
green,std,40,1,artificial land
green,std,68,1,artificial land
green,std,120,1,artificial land
green,std,143,1,artificial land
green,std,171,1,artificial land
green,std,158,1,artificial land
green,std,19,1,artificial land
green,std,67,1,artificial land
green,std,179,1,artificial land
green,std,122,1,artificial land
green,std,72,1,artificial land
green,std,86,1,artificial land
green,std,243,1,artificial land
green,std,386,1,artificial land
green,std,174,1,artificial land
green,std,82,1,artificial land
green,std,113,1,artificial land
green,std,177,1,artificial land
green,std,93,1,artificial land
green,std,59,1,artificial land
green,std,170,1,artificial land
green,std,83,1,artificial land
green,std,2,1,artificial land
green,std,316,1,artificial land
green,std,182,1,artificial land
green,std,296,1,artificial land
green,std,41,1,artificial land
green,std,198,1,artificial land
green,std,174,1,artificial land
green,std,227,1,artificial land
green,q10,895,1,artificial land
green,q10,1751,1,artificial land
green,q10,694,1,artificial land
green,q10,1104,1,artificial land
green,q10,634,1,artificial land
green,q10,2527,1,artificial land
green,q10,1243,1,artificial land
green,q10,2903,1,artificial land
green,q10,1106,1,artificial land
green,q10,2680,1,artificial land
green,q10,662,1,artificial land
green,q10,810,1,artificial land
green,q10,2429,1,artificial land
green,q10,1181,1,artificial land
green,q10,1085,1,artificial land
green,q10,1123,1,artificial land
green,q10,1347,1,artificial land
green,q10,1215,1,artificial land
green,q10,1341,1,artificial land
green,q10,1528,1,artificial land
green,q10,1232,1,artificial land
green,q10,1141,1,artificial land
green,q10,554,1,artificial land
green,q10,1336,1,artificial land
green,q10,862,1,artificial land
green,q10,793,1,artificial land
green,q10,1100,1,artificial land
green,q10,1233,1,artificial land
green,q10,1434,1,artificial land
green,q10,1812,1,artificial land
green,q10,1760,1,artificial land
green,q10,827,1,artificial land
green,q10,2046,1,artificial land
green,q10,3252,1,artificial land
green,q10,1341,1,artificial land
green,q10,1214,1,artificial land
green,q10,659,1,artificial land
green,q10,841,1,artificial land
green,q10,1728,1,artificial land
green,q10,1988,1,artificial land
green,q10,1661,1,artificial land
